ano,codigo_ibge,nome_mun,agropecuaria,industria,servicos,admin,bruto_total,impostos,pib,pib_pc
2010,1504059,Mãe do Rio,29019.386,21847.762,56257.456,55249.145,162373.75,12598.166,174971.916,6273.19
2010,1504109,Magalhães Barata,12745.07,1498.204,5264.624,14202.828,33710.726,760.085,34470.811,4247.79
2010,1504208,Marabá,91776.809,821161.117,1501220.143,469749.026,2883907.095,574717.548,3458624.643,14814.51
2010,1504307,Maracanã,30212.12,4358.444,20165.099,54874.563,109610.226,2711.538,112321.764,3958.34
2010,1504406,Marapanim,24645.834,4178.466,23302.153,45730.855,97857.307,2572.914,100430.221,3774.86
2010,1504422,Marituba,4605.66,144134.933,302734.401,193443.009,644918.003,87252.621,732170.624,6763.64
2010,1504455,Medicilândia,145266.358,15114.807,46982.234,48628.166,255991.564,2226.348,258217.912,9409.59
2010,1504505,Melgaço,11661.843,1824.878,7705.637,46635.315,67827.673,1404.681,69232.354,2792.87
2010,1504604,Mocajuba,51509.337,4115.774,20419.725,49512.511,125557.347,3283.821,128841.168,4817.39
2010,1504703,Moju,133334.551,46679.436,61806.63,135180.648,377001.266,21704.868,398706.134,5702.24
2010,1504802,Monte Alegre,154539.72,42081.432,77206.139,108918.186,382745.478,11490.756,394236.234,7108.61
2010,1504901,Muaná,52826.427,4770.141,14479.253,66200.09,138275.911,2328.056,140603.967,4106.78
2010,1504950,Nova Esperança do Piriá,38419.824,5014.518,14292.85,38766.701,96493.893,1971.534,98465.427,4884.44
2010,1504976,Nova Ipixuna,16586.376,4988.776,14689.833,27853.142,64118.127,3235.517,67353.644,4599.09
2010,1505007,Nova Timboteua,13461.628,2547.869,13688.276,24562.045,54259.818,2036.165,56295.983,4121.23
2010,1505031,Novo Progresso,149542.358,22018.202,60330.888,48418.269,280309.716,13303.195,293612.911,11694.93
2010,1505064,Novo Repartimento,118698.307,24104.51,67119.266,124236.599,334158.682,13792.305,347950.987,5600.91
2010,1505106,Óbidos,175632.831,25339.007,64727.691,85428.763,351128.293,12040.237,363168.529,7373.38
2010,1505205,Oeiras do Pará,74949.973,5042.143,16182.158,55061.113,151235.386,2986.212,154221.598,5393.31
2010,1505304,Oriximiná,158048.009,917217.603,367203.626,133608.779,1576078.016,59467.121,1635545.137,25976.29
2010,1505403,Ourém,33461.084,5878.692,20511.067,27305.175,87156.018,2999.992,90156.01,5532.4
2010,1505437,Ourilândia do Norte,31126.893,93190.142,89071.498,60147.802,273536.335,52492.43,326028.765,11828.06
2010,1505486,Pacajá,87887.825,24386.1,35759.064,68386.262,216419.25,8527.927,224947.177,5616.38
2010,1505494,Palestina do Pará,11162.323,3171.151,5978.446,14733.197,35045.117,1001.144,36046.261,4814.51
2010,1505502,Paragominas,164663.276,563925.421,382021.646,192562.967,1303173.31,124065.355,1427238.665,14595.23
2010,1505536,Parauapebas,56643.416,11965461.871,2240150.215,329391.974,14591647.476,393522.416,14985169.892,97342.96
2010,1505551,Pau D'Arco,20759.049,1484.289,5385.198,14058.06,41686.596,845.604,42532.201,7054.6
2010,1505601,Peixe-Boi,6676.941,1441.633,4970.336,14366.481,27455.391,650.729,28106.12,3572.21
2010,1505635,Piçarra,43187.041,5084.507,12726.532,25158.936,86157.016,3054.25,89211.266,7022.85
2010,1505650,Placas,50344.742,6853.143,13158.634,39608.61,109965.128,1604.724,111569.851,4662.34
2010,1505700,Ponta de Pedras,49280.949,2557.812,13094.823,44527.455,109461.04,1964.792,111425.832,4287.42
2010,1505809,Portel,76116.211,28996.013,48512.573,100735.741,254360.537,10410.992,264771.529,5075.56
2010,1505908,Porto de Moz,33252.081,6915.26,21028.903,65837.674,127033.918,4358.467,131392.385,3870.06
2010,1506005,Prainha,63565.418,6722.089,14470.56,54976.039,139734.107,1766.631,141500.738,4835.15
